basque,english,context
bereizmen,resolution,Life sciences > Biochemistry and Molecular Biology
bereizmen,potential discrimination,Life sciences > Cell biology
bereizmen,resolution,Technological Sciences > Computer technology
bereizmen,resolution,Chemistry > Analytical chemistry
bereizmen,resolution,Medical Sciences > Medical diagnostic and Treatment Technology
bereizmen,resolution,Technological Sciences > Telecommunications technology
bereizmen,resolution,Physics > Electro-magnetism
bereizmen,resolution capacity,Physics > Optics
bereizmen,resolution,Physics > General Physics specialities
bermapuntu,support point,Technological Sciences > Mechanical engineering and technology
bermapuntu,bearing point; point of support; support,Technological Sciences > Construction technology
berme,bearer; bearing; support,Technological Sciences > Construction technology
berme,guarantee,Technological Sciences > Projects
bero-ahalmen,calorific value; heating value,Technological Sciences > Chemical technology and engineering
bero-ahalmen,heat capacity,Chemistry > Physical chemistry
bero-ahalmen,heat capacity; thermal capacity; calorific value; heating value,Technological Sciences > Environmental technology and engineering
bero-ahalmen,heat capacity,Physics > Thermodynamics
bero-fluxu,heat flux,Earth and Space Sciences > Geology
bero-fluxu,heat flow,Technological Sciences > Food technology
berrerabilpen,reuse,Technological Sciences > Computer technology
berrerabilpen,reusing; reutilization,Technological Sciences > Environmental technology and engineering
beta izpi,beta radiation; beta rays,Physics > Mechanics
beta izpi,beta ray,Life sciences > Microbiology
betegarri,packing,Technological Sciences > Environmental technology and engineering
betegarri,backfill,Technological Sciences > Electrical technology and engineering
betelan,embanking,Technological Sciences > Environmental technology and engineering
betelan,fill,Technological Sciences > Construction technology
betetze,adherence; follow,Medical Sciences > Pharmacology
betetze,filling,Medical Sciences > Pharmaceutical Technology
betetze,filling,Technological Sciences > Environmental technology and engineering
bezero,client; customer,Economic Sciences > General economics
bezero,consumer; customer,Technological Sciences > Electrical technology and engineering
bezero,client; customer,Economic Sciences > Organization and management of enterprises
bezero,client; client program,Technological Sciences > Computer technology
bezero,client; customer,Technological Sciences > Projects
bide,path; trajectory,Physics > Electro-magnetism
bide,route; via; way,Medical Sciences > Pharmacology
bide,path,Mathematics > Topology
bide,path,Mathematics > Analysis and functional analysis
bide parenteral,parenteral way,Medical Sciences > Microbiology
bide parenteral,parenteral; parenteral way,Medical Sciences > Pharmacology
bide parenteral,parenteral route,Medical Sciences > Pharmaceutical Technology
bideragarritasun,viability,Life sciences > Biochemistry and Molecular Biology
bideragarritasun,feasibility,Technological Sciences > Telecommunications technology
bideragarritasun,feasibility; viability,Technological Sciences > Projects
biderkagailu,multiplier,Technological Sciences > Telecommunications technology
biderkagailu,speed multiplier,Technological Sciences > Electrical technology and engineering
biderketa,multiplication,Physics > Electro-magnetism
biderketa,multiplication,Technological Sciences > Environmental technology and engineering
biderketa,multiplication,Mathematics > Analysis and functional analysis
biderketa,product,Mathematics > Algebra
biderketa eskalar,scalar multiplication,Technological Sciences > Construction technology
biderketa eskalar,scalar product,Technological Sciences > Telecommunications technology
biderketa eskalar,scalar multiplication,Mathematics > Analysis and functional analysis
biderketa eskalar,scalar multiplication,Physics > General Physics specialities
bihurdura,torsion,Physics > Electro-magnetism
bihurdura,torsion,Physics > Aplied Physics
bihurdura,torsion,Technological Sciences > Construction technology
bihurdura,torque,Technological Sciences > Electrical technology and engineering
bihurgarri,accounts receivable,Economic Sciences > General economics
bihurgarri,realizable; realizable asset,Economic Sciences > Organization and management of enterprises
bilbe,cistern,Life sciences > Cell biology
bilbe,frame,Technological Sciences > Instrumentation technology
bilbe,frame,Technological Sciences > Telecommunications technology
bilgarri,envelope,Life sciences > Microbiology
bilgarri,packaging,Medical Sciences > Pharmaceutical Technology
biltegi,stockroom; store; warehouse,Economic Sciences > Organization and management of enterprises
biltegi,tank; storehouse,Technological Sciences > Environmental technology and engineering
biltegi,store,Medical Sciences > Pharmaceutical Technology
biltegi,tank,Physics > Fluids (physics of)
biopelikula,biofilm; slime layer,Medical Sciences > Microbiology
biopelikula,bacterial plaque,Medical Sciences > Dentistry
Biot eta Savart-en legea,Biot and Savart's law,Physics > Aplied Physics
Biot eta Savart-en legea,Biot-Savart law,Physics > Electro-magnetism
bira,revolution,Technological Sciences > Industrial technology
bira,coil; turn,Technological Sciences > Electrical technology and engineering
bira,revolution,Physics > Electro-magnetism
bira,revolution,Physics > Aplied Physics
biraketa,rotation,Medical Sciences > Pharmaceutical Technology
biraketa,rotation,Physics > Mechanics
biraketa,gyration,Technological Sciences > Construction technology
biraketa,rotation,Technological Sciences > Electrical technology and engineering
biraketa,rotation,Physics > Theoretical physics
biraketa,rotation,Mathematics > Algebra
biraketa,rotation,Life sciences > Biochemistry and Molecular Biology
biraketa,rotation,Physics > General Physics specialities
biraketa,revolution; rotation,Mathematics > Analysis and functional analysis
biraketa,rotation,Physics > Aplied Physics
biraketa,rotation,Technological Sciences > Environmental technology and engineering
biraketa,rotation,Physics > Electro-magnetism
biraketa-abiadura,speed of rotation; velocity of rotation,Physics > Mechanics
biraketa-abiadura,rotation rate,Medical Sciences > Pharmaceutical Technology
biraketa-abiadura,rotation velocity,Technological Sciences > Mechanical engineering and technology
biraketa-abiadura,rotation speed,Life sciences > Biochemistry and Molecular Biology
biraketa-abiadura,rotational speed; speed of revolution; speed of rotation; velocity of rotation,Technological Sciences > Electrical technology and engineering
biraketa-angelu,pivoting angle,Technological Sciences > Construction technology
biraketa-angelu,angle of revolution,Mathematics > Analysis and functional analysis
biraketa-ardatz,axis of rotation; rotation axis,Physics > Mechanics
biraketa-ardatz,axis of rotation; rotation axis,Technological Sciences > Industrial technology
biraketa-ardatz,axis of revolution; axis of rotation,Technological Sciences > Mechanical engineering and technology
biraketa-ardatz,axis of rotation,Life sciences > Biochemistry and Molecular Biology
biraketa-ardatz,rotation axis,Technological Sciences > Environmental technology and engineering
biraketa-ardatz,axis of revolution,Technological Sciences > Construction technology
biraketa-ardatz,axis of rotation; rotation axis,Physics > Aplied Physics
biraketa-ardatz,axis of rotation; rotation axis,Physics > Electro-magnetism
biraketa-higidura,rotating movement; rotational motion,Technological Sciences > Industrial technology
biraketa-higidura,rotary motion; rotation motion,Technological Sciences > Construction technology
biraketa-higidura,rotating motion; rotational motion,Physics > Electro-magnetism
birkonbinaketa,recombination,Medical Sciences > Microbiology
birkonbinaketa,genetic recombination,Life sciences > Biochemistry and Molecular Biology
biroide,viroid,Life sciences > Microbiology
biroide,viriod,Medical Sciences > Microbiology
birus-partikula,virion,Medical Sciences > Microbiology
birus-partikula,viral particle,Life sciences > Microbiology
bitartekari metaboliko,metabolic intermediate,Medical Sciences > Microbiology
bitartekari metaboliko,metabolite,Life sciences > Biochemistry and Molecular Biology
bizi-kalitate,quality of life,Medical Sciences > Public health
bizi-kalitate,life quality,Medical Sciences > Pharmacology
bizi-kalitate,quality of life,Technological Sciences > Environmental technology and engineering
bizitza baliagarri,useful life,Economic Sciences > Organization and management of enterprises
bizitza baliagarri,service life; useful life,Technological Sciences > Projects
bizitza baliagarri,service life; useful life,Technological Sciences > Electrical technology and engineering
bizitza baliagarri,useful life,Technological Sciences > Environmental technology and engineering
bizitza erabilgarri,useful life,Economic Sciences > Organization and management of enterprises
bizitza erabilgarri,shelf life,Technological Sciences > Food technology
bizitza erabilgarri,service life; useful life,Technological Sciences > Projects
bizkarrezur,backbone,Life sciences > Human physiology
bizkarrezur,spinal column,Medical Sciences > Pharmaceutical Technology
blokeo,"blockage; blocking, locking",Technological Sciences > Electrical technology and engineering
blokeo,blockade,Medical Sciences > Pharmacology
blokeo,deadlock; lock,Technological Sciences > Computer technology
bolumen-unitate,unit of volume,Medical Sciences > Pharmaceutical Technology
bolumen-unitate,volume unit,Technological Sciences > Environmental technology and engineering
bolumen-unitate,volume unit,Physics > Electro-magnetism
